               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,             0.03471,            0.022151,           0.0094287,             0.14691,             0.25855,              0.1289,            0.031144,            0.034868,            0.031536,           0.0097767,            0.004852,            0.004852,            0.004852
                 106,            0.034346,            0.022864,           0.0094201,             0.13097,             0.23306,             0.11174,            0.027371,            0.035295,            0.031156,           0.0096361,           0.0048025,           0.0048025,           0.0048025
                 107,            0.034414,            0.024648,           0.0094223,             0.15228,             0.22868,             0.12542,            0.032725,            0.034794,            0.030944,           0.0094934,            0.004753,            0.004753,            0.004753
                 108,            0.034214,            0.024323,            0.009078,             0.12911,             0.23427,             0.11343,            0.027269,            0.035028,             0.03016,           0.0092945,           0.0047035,           0.0047035,           0.0047035
                 109,             0.03334,            0.024233,            0.009039,             0.10488,              0.2344,            0.084047,            0.022319,            0.035658,            0.029881,            0.009499,            0.004654,            0.004654,            0.004654
                 110,            0.034589,            0.024028,           0.0089246,             0.19837,             0.25773,             0.14055,            0.035636,             0.03505,            0.030761,           0.0094239,           0.0046045,           0.0046045,           0.0046045
                 111,            0.034207,             0.02332,           0.0086261,             0.16751,             0.29748,             0.15902,            0.040526,            0.034342,             0.03131,           0.0086672,            0.004555,            0.004555,            0.004555
                 112,            0.033538,            0.024396,           0.0084743,             0.18761,             0.24857,             0.11415,            0.027888,            0.034883,            0.031805,           0.0089598,           0.0045055,           0.0045055,           0.0045055
                 113,             0.03421,            0.023956,           0.0085911,             0.15155,             0.28261,             0.14598,            0.036505,             0.03508,            0.030285,           0.0085267,            0.004456,            0.004456,            0.004456
                 114,            0.034146,            0.023373,           0.0083811,             0.14086,             0.27487,             0.12828,            0.030211,             0.03458,            0.030944,           0.0085137,           0.0044065,           0.0044065,           0.0044065
                 115,            0.034725,            0.023387,           0.0082997,             0.17786,             0.27772,             0.15872,            0.039138,            0.034182,            0.031047,           0.0083248,            0.004357,            0.004357,            0.004357
                 116,            0.033581,             0.02398,           0.0083585,             0.16344,             0.28311,             0.15128,            0.039192,             0.03487,            0.030207,           0.0081484,           0.0043075,           0.0043075,           0.0043075
                 117,            0.034455,            0.022943,           0.0081928,             0.11683,             0.25555,             0.11556,            0.028468,            0.035292,            0.031179,           0.0085482,            0.004258,            0.004258,            0.004258
                 118,            0.032866,            0.024267,           0.0080138,              0.1647,             0.28579,             0.15411,            0.037339,            0.034019,            0.031615,           0.0081752,           0.0042085,           0.0042085,           0.0042085
